GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
tech-challenge-payment-api,br.com.fiap.techchallenge.payment.infra.gateway.client.cotroller,PaymentClientController,0,142,0,6,0,35,0,10,0,7
tech-challenge-payment-api,br.com.fiap.techchallenge.payment.infra.gateway.client.cotroller,WebHookPaymentController,0,25,0,0,0,7,0,3,0,3
tech-challenge-payment-api,br.com.fiap.techchallenge.payment.infra.gateway.client.cotroller.response,MpPaymentGetResponse,0,78,0,0,0,28,0,14,0,14
tech-challenge-payment-api,br.com.fiap.techchallenge.payment.infra.gateway.client.cotroller.response,MpPaymentQRResponse,0,18,0,0,0,8,0,4,0,4
tech-challenge-payment-api,br.com.fiap.techchallenge.payment.infra.gateway.producer.dto,OrderStatusUpdateDTO,0,9,0,0,0,1,0,1,0,1
tech-challenge-payment-api,br.com.fiap.techchallenge.payment.infra.config.messaging,SqsConfig,0,10,0,0,0,4,0,2,0,2
tech-challenge-payment-api,br.com.fiap.techchallenge.payment.infra.config.messaging,ObjectMapperConfig,0,11,0,0,0,2,0,2,0,2
tech-challenge-payment-api,br.com.fiap.techchallenge.payment.application.usecase.payment.dto,PaymentCreateDTO,0,16,0,0,0,3,0,2,0,2
tech-challenge-payment-api,br.com.fiap.techchallenge.payment.domain.models,Payment,0,85,0,0,0,27,0,13,0,13
tech-challenge-payment-api,br.com.fiap.techchallenge.payment.infra.entrypoint.consumer.dto,PaymentOrderCreateDTO,0,9,0,0,0,1,0,1,0,1
tech-challenge-payment-api,br.com.fiap.techchallenge.payment.infra.config.database,DynamoDbConfig,0,10,0,0,0,4,0,2,0,2
tech-challenge-payment-api,br.com.fiap.techchallenge.payment.infra.gateway.client.cotroller.request,MpPaymentItemQRRequest,0,33,0,0,0,12,0,6,0,6
